2020-07-16 15:16:04 status unpacked libxcb-icccm4:amd64 0.4.1-1.1
2020-07-16 15:16:04 install libxcb-shm0:amd64 <none> 1.13.1-2
2020-07-16 15:16:04 status half-installed libxcb-shm0:amd64 1.13.1-2
2020-07-16 15:16:04 status unpacked libxcb-shm0:amd64 1.13.1-2
2020-07-16 15:16:04 install libxcb-util0:amd64 <none> 0.3.8-3+b2
2020-07-16 15:16:04 status half-installed libxcb-util0:amd64 0.3.8-3+b2
2020-07-16 15:16:04 status unpacked libxcb-util0:amd64 0.3.8-3+b2
2020-07-16 15:16:04 install libxcb-image0:amd64 <none> 0.4.0-1+b2
2020-07-16 15:16:04 status half-installed libxcb-image0:amd64 0.4.0-1+b2
2020-07-16 15:16:04 status unpacked libxcb-image0:amd64 0.4.0-1+b2
2020-07-16 15:16:04 install libxcb-keysyms1:amd64 <none> 0.4.0-1+b2
2020-07-16 15:16:04 status half-installed libxcb-keysyms1:amd64 0.4.0-1+b2
2020-07-16 15:16:04 status unpacked libxcb-keysyms1:amd64 0.4.0-1+b2
2020-07-16 15:16:04 install libxcb-randr0:amd64 <none> 1.13.1-2
2020-07-16 15:16:04 status half-installed libxcb-randr0:amd64 1.13.1-2
2020-07-16 15:16:04 status unpacked libxcb-randr0:amd64 1.13.1-2
2020-07-16 15:16:04 install libxcb-render0:amd64 <none> 1.13.1-2
2020-07-16 15:16:04 status half-installed libxcb-render0:amd64 1.13.1-2
